station_id,station_name,province,reading_time,temperature,humidity,wind_speed
48,Stasiun North Richardmouth,Jawa Tengah,2025-03-18 19:02:47,21.09,80.05,16.01
49,Stasiun East Jamesside,Jawa Tengah,2024-11-10 05:41:00,24.48,50.46,8.97
50,Stasiun Whitemouth,Kalimantan Barat,2024-08-29 14:59:17,23.3,65.44,17.49
51,Stasiun South Lindseyside,Jawa Tengah,2024-07-05 03:29:20,27.98,87.37,11.01
52,Stasiun North Sarabury,Jawa Timur,2024-07-30 03:05:16,31.74,69.73,0.3
53,Stasiun Olsonfurt,Jawa Tengah,2025-04-24 23:50:32,36.67,86.68,3.33
54,Stasiun South Aaron,Sulawesi Selatan,2024-10-19 23:35:17,28.66,87.56,18.05
55,Stasiun Mitchellside,DKI Jakarta,2025-01-27 03:02:59,26.82,94.19,5.3
56,Stasiun Mooreport,Sulawesi Selatan,2024-08-17 21:33:30,25.13,78.31,14.61
57,Stasiun New Jillton,Sulawesi Selatan,2025-02-27 13:49:08,22.79,56.32,19.37
58,Stasiun North Breannahaven,Jawa Timur,2025-05-01 04:22:17,33.46,43.14,11.68
59,Stasiun North Susan,DKI Jakarta,2024-06-28 15:28:57,21.02,67.93,17.03
60,Stasiun North Brooke,Jawa Tengah,2025-01-31 23:59:45,30.71,77.14,4.7
61,Stasiun South David,Jawa Tengah,2025-04-20 13:17:22,36.95,71.33,11.58
62,Stasiun New Brooke,Jawa Timur,2025-01-11 14:35:39,31.15,63.06,11.67
63,Stasiun Sandovalshire,Kalimantan Timur,2024-12-07 07:49:57,36.82,51.23,14.32
64,Stasiun Jamesmouth,Sumatera Utara,2024-08-25 13:30:30,24.78,47.2,12.91
65,Stasiun Andersonport,Sulawesi Selatan,2024-11-13 09:09:56,25.69,81.35,1.45
66,Stasiun North Stephenshire,Sulawesi Selatan,2025-05-29 04:47:13,31.18,70.96,2.0
67,Stasiun New Jasonview,Sumatera Utara,2024-07-17 18:19:38,29.11,47.29,6.98
68,Stasiun Nicolebury,Jawa Tengah,2024-10-12 08:25:49,35.83,60.32,3.15
69,Stasiun South Martha,Riau,2025-02-11 08:18:24,31.01,94.3,13.08
70,Stasiun Lake Lisaport,Jawa Timur,2025-05-05 16:47:40,32.02,70.5,18.64
71,Stasiun East Josephville,Jawa Tengah,2025-02-25 13:05:28,36.9,47.39,2.31
72,Stasiun West Juan,Jawa Tengah,2024-08-15 07:34:25,33.36,48.55,5.64
73,Stasiun Jamesview,Sumatera Utara,2024-11-30 23:32:21,32.92,51.2,12.68
74,Stasiun Rebeccaton,Riau,2024-07-03 02:18:39,29.1,53.81,18.16
75,Stasiun Calderonton,Jawa Timur,2024-05-31 16:19:31,21.66,63.3,5.53
76,Stasiun Lake Tina,Jawa Timur,2024-07-28 09:38:00,26.0,47.2,19.6
77,Stasiun Arnoldchester,DKI Jakarta,2024-12-21 06:01:10,33.34,70.34,8.55
78,Stasiun North Sierraberg,Jawa Timur,2024-12-15 15:45:29,22.01,91.98,13.82
79,Stasiun Brandiberg,DKI Jakarta,2024-11-03 08:39:06,29.82,85.9,11.65
80,Stasiun West Michaelton,DKI Jakarta,2025-04-23 17:00:08,27.74,42.3,7.29
81,Stasiun Lake John,Jawa Timur,2024-07-06 22:18:32,36.18,51.55,4.99
82,Stasiun Dicksonberg,Jawa Tengah,2025-05-03 12:16:05,26.37,70.79,17.49
83,Stasiun Port Francisco,DKI Jakarta,2025-03-18 12:51:44,36.66,53.02,3.25
84,Stasiun South Angel,DKI Jakarta,2025-02-23 09:47:31,35.87,41.36,14.73
85,Stasiun Kimberlychester,Kalimantan Timur,2025-03-19 09:26:43,34.08,62.64,13.4
86,Stasiun West Erik,Sumatera Utara,2025-02-10 12:28:51,24.8,83.31,2.16
87,Stasiun Brennanfort,Jawa Timur,2024-08-19 15:02:43,35.45,52.23,16.33
88,Stasiun Baileybury,Sulawesi Selatan,2024-08-19 19:20:20,26.29,85.13,17.43
89,Stasiun South Mark,Sumatera Utara,2025-04-11 01:57:18,20.43,50.62,6.57
90,Stasiun Michaelhaven,Jawa Tengah,2024-10-23 08:43:46,37.4,55.35,12.83
91,Stasiun Sheilaville,Kalimantan Barat,2025-04-15 17:09:10,32.23,86.4,6.62
92,Stasiun Gregoryview,Jawa Timur,2024-06-13 08:35:53,22.08,93.37,3.57
93,Stasiun Reedmouth,Riau,2024-11-05 18:34:07,20.69,72.81,6.91
94,Stasiun South Rachelborough,Kalimantan Timur,2024-08-31 10:04:51,27.86,94.13,2.31
95,Stasiun Smithside,Sumatera Utara,2025-02-05 06:04:10,24.59,78.98,0.03
96,Stasiun West Ryan,Sumatera Utara,2025-05-11 22:51:02,26.56,43.85,13.28
97,Stasiun Cindyville,Kalimantan Timur,2025-02-17 06:26:16,31.22,76.49,2.49
98,Stasiun Williamchester,Riau,2024-09-26 12:29:08,29.13,76.68,6.52
99,Stasiun Angelaborough,Riau,2024-10-30 22:46:34,29.98,50.55,13.3
100,Stasiun Byrdburgh,Kalimantan Barat,2025-01-10 04:42:02,32.19,89.65,12.31
101,Stasiun Richardtown,Riau,2024-09-18 08:56:22,27.31,85.85,6.08
102,Stasiun South Kristi,Sumatera Utara,2025-01-06 23:05:40,27.74,71.9,13.09
103,Stasiun Stevenmouth,Sulawesi Selatan,2025-02-01 03:37:51,27.95,77.16,10.22
104,Stasiun Leonburgh,DKI Jakarta,2025-01-26 00:34:20,31.86,55.61,13.28
105,Stasiun Zacharymouth,Kalimantan Timur,2024-07-03 11:51:16,21.68,92.36,4.7
106,Stasiun Lake Lance,Riau,2025-03-20 23:22:53,24.04,50.95,0.49
107,Stasiun North Brandon,Sumatera Utara,2025-05-24 18:11:30,37.71,73.62,15.37
108,Stasiun South Robertshire,Sulawesi Selatan,2024-08-09 09:37:02,27.46,74.64,3.89
109,Stasiun Snyderbury,Kalimantan Barat,2024-07-23 06:49:10,28.9,53.42,13.12
110,Stasiun Port Michelleville,Jawa Timur,2025-03-10 16:41:28,36.07,87.32,17.71
111,Stasiun East Linda,Kalimantan Barat,2025-02-08 13:26:25,23.94,84.23,13.92
112,Stasiun Williamsbury,Sulawesi Selatan,2025-04-30 11:34:00,20.9,53.71,16.97
113,Stasiun South Dennismouth,Sulawesi Selatan,2025-01-29 05:04:15,22.4,65.56,10.62
114,Stasiun Stephaniemouth,Kalimantan Timur,2025-01-09 03:36:28,37.1,89.03,12.25
115,Stasiun Rivasside,Kalimantan Barat,2024-11-09 06:00:59,34.95,70.13,17.94
116,Stasiun Lake Michelle,Sulawesi Selatan,2024-11-10 18:26:53,28.1,81.35,16.8
117,Stasiun Port Dana,Riau,2025-03-06 02:11:01,33.78,68.67,12.53
118,Stasiun Simsview,Riau,2024-11-07 01:03:44,27.92,79.24,4.69
119,Stasiun Jimmymouth,Kalimantan Timur,2024-09-24 03:44:31,25.75,69.71,2.77
120,Stasiun East Edwardfurt,Sumatera Utara,2025-02-07 20:14:32,26.89,48.4,4.28
121,Stasiun North Robert,Kalimantan Barat,2024-09-28 05:40:17,27.34,69.84,8.32
122,Stasiun Perryborough,Sumatera Utara,2025-03-30 14:10:07,34.99,61.42,15.4
123,Stasiun Steinshire,Jawa Timur,2025-05-10 22:11:50,35.42,82.11,7.61
124,Stasiun Port Nicoleshire,Jawa Timur,2024-10-16 07:34:24,36.97,56.42,7.8
125,Stasiun West Kennethfurt,Kalimantan Barat,2025-04-07 02:21:52,29.69,80.4,16.0
126,Stasiun Medinaside,Sumatera Utara,2025-03-18 12:41:49,28.79,55.01,9.71
127,Stasiun South Jeffrey,Kalimantan Barat,2024-11-05 13:40:41,26.05,77.35,8.09
128,Stasiun South Matthewfurt,DKI Jakarta,2025-02-18 21:14:41,35.13,90.57,19.61
129,Stasiun Calhounside,Jawa Timur,2024-06-09 05:37:34,36.32,72.55,13.26
130,Stasiun Vargastown,Jawa Tengah,2024-06-30 01:06:28,31.57,47.46,9.23
131,Stasiun Taylormouth,Jawa Timur,2024-08-04 18:14:15,24.68,58.0,9.09
132,Stasiun Nicholasborough,Kalimantan Timur,2024-11-12 11:01:47,33.7,60.85,15.04
133,Stasiun Kathleenfurt,Kalimantan Barat,2024-09-09 00:22:31,24.54,44.5,0.39
134,Stasiun Kingland,Jawa Timur,2024-11-18 03:50:29,38.0,59.25,13.0
135,Stasiun West Jeffreyland,Jawa Timur,2025-03-11 17:20:46,33.58,92.23,3.99
136,Stasiun Port Anthonybury,Jawa Timur,2024-08-11 04:47:33,31.18,53.12,9.47
137,Stasiun New Elijahberg,Jawa Tengah,2024-11-19 08:22:02,30.15,51.99,13.99
138,Stasiun New Staciemouth,Kalimantan Timur,2025-02-09 20:35:12,23.02,73.4,14.96
139,Stasiun Garyville,Jawa Tengah,2025-03-10 11:10:54,34.0,49.01,6.22
140,Stasiun West Daniel,Jawa Timur,2024-06-08 18:20:08,36.72,71.67,18.16
141,Stasiun Barbarafurt,Kalimantan Barat,2024-10-22 06:13:20,27.14,79.33,1.52
142,Stasiun North Brittany,Sumatera Utara,2025-03-29 17:50:10,21.83,82.49,17.01
143,Stasiun North Heidi,Jawa Tengah,2024-09-17 12:50:46,34.33,71.13,0.82
144,Stasiun Port Tonyaton,Kalimantan Barat,2024-10-04 04:44:58,31.91,43.79,12.95
145,Stasiun Stanleyland,Jawa Timur,2024-12-01 04:22:32,35.29,85.23,2.11
146,Stasiun Alexanderchester,Kalimantan Timur,2025-03-26 17:36:00,31.44,85.58,14.15
147,Stasiun South Susanmouth,Kalimantan Barat,2025-02-12 17:20:33,23.17,68.7,13.01
148,Stasiun Thompsonhaven,Sulawesi Selatan,2025-05-18 00:21:20,28.37,85.42,11.85
149,Stasiun Christinaside,Kalimantan Timur,2025-03-09 07:33:56,35.33,85.69,1.73
150,Stasiun Grahamshire,Sulawesi Selatan,2024-09-05 09:56:08,24.39,65.56,12.21
151,Stasiun Port Sarah,Kalimantan Barat,2024-09-09 06:15:46,26.06,67.19,6.5
152,Stasiun Sanchezmouth,Sulawesi Selatan,2024-12-24 12:24:35,23.82,83.88,6.81
153,Stasiun Rogersfort,Riau,2025-04-06 04:29:35,30.0,68.41,3.82
154,Stasiun South Jason,Sumatera Utara,2025-03-17 18:51:06,32.96,66.87,15.16
155,Stasiun Joshuaview,Sulawesi Selatan,2024-12-19 09:10:31,31.63,67.0,15.86
156,Stasiun North John,Jawa Tengah,2024-10-25 19:53:46,25.3,62.24,4.87
157,Stasiun Lake Thomas,Kalimantan Timur,2025-02-14 09:05:03,28.52,69.2,8.51
158,Stasiun Mcguireland,Kalimantan Timur,2024-09-14 20:26:35,26.33,64.96,6.13
159,Stasiun Holtport,Sumatera Utara,2025-01-27 21:21:32,22.17,50.59,2.39
160,Stasiun Thomashaven,DKI Jakarta,2024-10-02 22:32:22,23.45,80.62,5.53
161,Stasiun Michaelmouth,Riau,2024-09-06 08:01:59,37.65,85.79,5.92
162,Stasiun Jerryborough,Kalimantan Timur,2024-09-22 15:15:44,23.23,40.78,10.68
163,Stasiun East Javier,Riau,2024-11-23 05:36:47,20.82,43.0,5.84
164,Stasiun Tinaborough,DKI Jakarta,2024-09-15 14:04:12,31.48,81.4,2.05
165,Stasiun Harrytown,Jawa Timur,2025-02-12 23:33:53,30.33,65.82,8.81
166,Stasiun West Brandon,DKI Jakarta,2024-06-19 07:12:24,37.38,53.89,17.23
167,Stasiun Heidiberg,Jawa Tengah,2025-01-18 08:39:25,34.8,62.04,1.48
168,Stasiun Garciatown,Jawa Timur,2024-12-26 01:21:14,22.73,84.61,18.98
169,Stasiun Mendozamouth,Jawa Tengah,2024-08-05 17:19:56,37.89,46.51,15.29
170,Stasiun West Shelleyfort,Sumatera Utara,2024-07-11 01:18:18,33.96,60.92,18.17
171,Stasiun South Travisshire,Riau,2025-01-15 06:48:53,35.48,94.45,6.11
172,Stasiun East Edwardshire,Jawa Timur,2025-05-12 01:03:08,30.97,80.7,18.95
173,Stasiun East Davidchester,Sumatera Utara,2025-01-06 20:04:47,31.26,54.56,1.62
174,Stasiun Port Alexandra,Sumatera Utara,2024-11-10 22:20:47,23.13,44.13,0.05
175,Stasiun Evansshire,Sulawesi Selatan,2025-05-26 23:37:16,32.41,65.85,0.65
176,Stasiun Ashleyton,Riau,2025-01-08 01:07:22,32.73,78.66,9.08
177,Stasiun Port Jaredborough,Sumatera Utara,2024-09-04 01:04:08,36.63,83.33,12.5
178,Stasiun East Johnside,Sumatera Utara,2024-06-26 19:14:43,27.65,69.95,12.95
179,Stasiun South Shannonfort,Riau,2024-09-13 18:21:13,34.88,43.93,3.32
180,Stasiun West Jasmine,Riau,2025-02-11 03:27:53,30.71,85.33,18.42
181,Stasiun Jonesbury,Sulawesi Selatan,2025-05-02 20:01:37,22.24,77.88,13.99
182,Stasiun South Danny,Riau,2024-08-20 11:52:13,29.01,67.16,1.61
183,Stasiun West Margaret,Jawa Timur,2024-06-25 11:12:22,36.01,80.4,12.07
184,Stasiun Port Kyle,Jawa Timur,2025-02-27 22:25:42,21.64,92.91,16.72
185,Stasiun Scottmouth,Jawa Timur,2025-02-05 22:01:50,37.99,76.98,5.39
186,Stasiun Benderhaven,Jawa Timur,2024-12-13 14:35:36,33.74,49.64,10.38
187,Stasiun Millerton,Sulawesi Selatan,2025-04-20 05:42:44,36.49,49.98,11.71
188,Stasiun Cassandratown,Sulawesi Selatan,2024-07-02 17:47:39,37.44,65.85,8.17
189,Stasiun Port Emilyview,Kalimantan Timur,2024-12-26 20:29:14,32.06,87.18,6.6
190,Stasiun South April,Sulawesi Selatan,2024-11-07 21:43:17,25.19,91.99,16.27
191,Stasiun Howardshire,Jawa Timur,2024-11-05 14:06:28,28.19,57.3,6.47
192,Stasiun Costafort,Kalimantan Barat,2024-10-04 11:23:16,35.57,85.37,0.02
193,Stasiun Manuelville,Sulawesi Selatan,2025-04-08 15:55:37,27.44,50.32,7.24
194,Stasiun Robertfort,Sulawesi Selatan,2024-09-12 15:41:33,31.26,81.8,4.07
195,Stasiun Cervantesside,DKI Jakarta,2024-06-12 18:55:22,36.7,64.1,13.97
196,Stasiun West Johnnyville,Jawa Tengah,2025-05-19 17:39:04,20.52,74.65,15.99
197,Stasiun Hancocktown,DKI Jakarta,2025-01-25 14:08:16,25.59,40.75,8.16
198,Stasiun Gutierrezborough,Sumatera Utara,2024-12-05 17:45:36,37.86,90.21,9.23
199,Stasiun Garrettton,Jawa Tengah,2024-08-12 17:35:14,31.66,48.47,18.65
200,Stasiun West Samuel,Riau,2025-02-09 09:56:12,29.16,55.04,16.69
201,Stasiun North Teresabury,Sulawesi Selatan,2025-02-13 15:01:50,24.39,70.32,7.67
202,Stasiun Andreaside,DKI Jakarta,2024-10-26 09:35:35,35.55,55.19,15.8
203,Stasiun Port Robin,Kalimantan Barat,2024-11-14 22:11:10,26.12,83.32,5.34
204,Stasiun Lake Marilynfort,Jawa Timur,2025-05-06 00:39:27,25.09,56.42,11.74
205,Stasiun Williamview,Sulawesi Selatan,2024-10-29 03:20:00,35.57,64.56,9.69
206,Stasiun Bairdbury,Kalimantan Timur,2024-11-13 05:19:31,29.93,69.89,9.11
207,Stasiun South James,Kalimantan Timur,2025-01-04 07:14:41,35.65,93.94,4.78
208,Stasiun Port Chad,Kalimantan Barat,2025-03-08 14:19:46,24.2,82.65,0.87
209,Stasiun Morganhaven,Sulawesi Selatan,2024-09-04 23:12:58,32.69,84.63,7.72
210,Stasiun West Jessicashire,DKI Jakarta,2024-12-28 04:42:50,28.92,42.04,10.05
211,Stasiun Grimesmouth,Kalimantan Timur,2024-12-13 02:18:46,35.65,88.08,8.81
212,Stasiun Martinside,Sulawesi Selatan,2024-10-15 03:46:39,20.28,47.93,17.42
213,Stasiun Mollybury,DKI Jakarta,2024-12-25 05:29:08,21.35,82.98,5.3
214,Stasiun Port Kimberly,Kalimantan Barat,2024-06-15 07:50:47,31.7,86.85,17.05
215,Stasiun Thorntonfurt,Kalimantan Barat,2024-10-18 09:31:06,37.17,74.47,17.75
216,Stasiun South Tammie,Sulawesi Selatan,2024-07-15 11:53:21,35.7,41.97,1.37
217,Stasiun Mollymouth,Riau,2024-07-05 19:17:36,37.95,81.07,8.68
218,Stasiun Smithberg,Jawa Tengah,2024-10-27 03:01:08,33.69,78.71,2.01
219,Stasiun North Terrance,DKI Jakarta,2025-05-19 09:03:04,32.49,89.69,0.92
220,Stasiun Cindyfurt,Jawa Timur,2025-01-22 17:33:24,25.28,60.62,2.91
221,Stasiun Melissaside,Kalimantan Barat,2024-10-16 04:18:57,30.19,83.59,3.4
222,Stasiun Courtneyfort,Jawa Tengah,2025-04-14 00:20:41,30.97,61.04,13.66
223,Stasiun New Caseyport,Sulawesi Selatan,2025-05-29 16:26:27,36.43,47.87,9.22
224,Stasiun South Tiffanyville,Riau,2024-11-08 10:25:27,28.27,76.68,17.98
225,Stasiun Rebeccaton,Sulawesi Selatan,2024-09-25 20:38:06,36.22,77.27,3.16
226,Stasiun West Michaelchester,Sulawesi Selatan,2024-07-22 13:16:28,37.01,94.32,5.98
227,Stasiun Knightburgh,Kalimantan Barat,2024-07-31 11:16:50,32.43,65.13,6.04
228,Stasiun New Monicabury,Kalimantan Barat,2024-11-28 03:40:35,35.36,45.87,7.63
229,Stasiun East Steven,Kalimantan Timur,2024-08-31 03:32:56,30.35,94.6,5.9
230,Stasiun Elizabethmouth,Kalimantan Barat,2025-04-24 13:01:48,24.94,71.13,13.72
231,Stasiun North Scott,Jawa Timur,2024-10-03 14:23:24,36.39,80.98,16.66
232,Stasiun Daniellechester,Riau,2025-02-06 12:22:02,33.96,52.66,16.04
233,Stasiun Bruceborough,Sumatera Utara,2025-05-30 09:30:48,31.46,74.15,13.56
234,Stasiun Rodriguezfurt,DKI Jakarta,2024-12-25 06:34:54,31.31,89.69,12.93
235,Stasiun Victoriaport,Riau,2024-06-07 09:33:43,34.19,41.84,7.3
236,Stasiun Hillshire,DKI Jakarta,2025-04-11 08:13:04,21.62,56.23,14.95
237,Stasiun New Julieport,DKI Jakarta,2025-03-09 17:12:14,23.61,83.26,17.53
238,Stasiun New Laurie,Kalimantan Timur,2024-08-18 08:59:09,29.56,90.24,16.61
239,Stasiun New John,Riau,2025-03-02 08:27:15,36.45,91.93,19.35
240,Stasiun Lake Colton,Riau,2025-01-14 13:23:30,33.44,58.63,2.3
241,Stasiun West Kristinaton,Jawa Tengah,2024-12-28 01:38:58,22.53,93.16,17.2
242,Stasiun North Renee,Kalimantan Barat,2024-09-26 17:11:10,37.41,84.25,7.32
243,Stasiun Thompsonberg,Kalimantan Barat,2025-03-13 15:37:38,20.25,69.51,9.1
244,Stasiun Alyssaview,Riau,2025-03-29 16:58:06,30.52,85.23,18.81
245,Stasiun Robinfort,Jawa Tengah,2025-05-18 17:06:04,32.15,65.93,12.39
246,Stasiun Juliemouth,Kalimantan Timur,2025-03-20 02:57:14,36.47,52.18,1.26
247,Stasiun Mccartyberg,Sulawesi Selatan,2025-03-01 19:57:20,36.37,56.62,8.17
248,Stasiun Port Erica,DKI Jakarta,2025-01-31 16:55:40,20.82,42.05,19.92
249,Stasiun Coffeyside,Jawa Tengah,2024-10-10 23:32:27,21.75,88.8,2.71
250,Stasiun Smithside,Sulawesi Selatan,2024-07-14 12:35:38,26.68,92.22,13.93
251,Stasiun Emilyview,Kalimantan Barat,2024-12-29 21:21:29,30.57,79.96,17.71
252,Stasiun Danielbury,Jawa Tengah,2024-11-18 14:05:52,35.01,73.86,18.78
253,Stasiun Rosebury,Riau,2025-01-21 22:24:36,20.59,60.38,8.87
254,Stasiun Blankenshipport,Sumatera Utara,2025-01-22 12:19:18,35.4,45.46,13.71
255,Stasiun East Brandonton,Kalimantan Timur,2024-09-18 13:13:53,21.09,55.17,19.36
256,Stasiun Wilsonbury,Sulawesi Selatan,2025-04-19 10:44:48,21.65,51.67,12.79
257,Stasiun South Shawn,Jawa Timur,2025-01-30 06:33:57,20.91,58.34,19.78
258,Stasiun Matthewsberg,Sumatera Utara,2025-04-18 18:34:10,21.23,82.08,4.14
259,Stasiun Port Tracychester,Sumatera Utara,2025-05-08 08:45:30,34.63,52.81,15.49
260,Stasiun Antoniostad,Jawa Timur,2024-08-17 17:46:43,24.99,94.12,19.75
261,Stasiun Sampsonstad,Riau,2024-07-05 16:09:48,34.37,46.05,17.33
262,Stasiun Amystad,DKI Jakarta,2024-06-21 12:00:44,20.27,83.45,4.76
263,Stasiun Jamesville,Kalimantan Timur,2025-05-12 00:02:43,20.28,54.6,2.54
264,Stasiun Davisborough,Kalimantan Barat,2025-01-19 18:16:19,29.47,81.01,9.52
265,Stasiun North Kristinbury,Kalimantan Timur,2025-05-26 13:00:41,29.24,46.0,10.08
266,Stasiun North Maria,Jawa Timur,2024-12-18 19:17:49,33.09,89.98,13.18
267,Stasiun Port Molly,Riau,2024-09-27 09:19:08,28.24,93.02,1.22
268,Stasiun Port Rachel,Sulawesi Selatan,2024-05-31 10:06:01,35.25,63.45,2.16
269,Stasiun East Amber,Sulawesi Selatan,2025-03-18 00:49:30,21.32,44.44,12.17
270,Stasiun Lake Michelleberg,Jawa Tengah,2024-06-04 19:30:24,22.27,74.34,11.71
271,Stasiun New Mario,Kalimantan Timur,2024-08-02 00:38:42,26.86,72.86,5.9
272,Stasiun East Judyhaven,Kalimantan Barat,2024-07-10 21:28:02,21.79,78.6,17.06
273,Stasiun South Shanestad,Sumatera Utara,2024-12-03 20:09:55,27.74,88.85,8.28
274,Stasiun South Williamton,Sulawesi Selatan,2025-02-20 00:04:56,27.18,80.13,6.25
275,Stasiun Stephentown,Kalimantan Timur,2024-06-21 14:25:32,31.97,60.59,3.05
276,Stasiun Boonechester,Sulawesi Selatan,2025-02-04 23:24:38,21.21,85.75,1.86
277,Stasiun Josephmouth,Jawa Tengah,2024-06-26 05:26:48,33.4,60.5,2.6
278,Stasiun West Charleneland,Jawa Timur,2024-07-15 11:24:35,30.56,70.89,6.59
279,Stasiun Oscarhaven,Jawa Tengah,2024-09-15 02:14:51,27.39,88.05,18.82
280,Stasiun Garciaville,Kalimantan Barat,2025-04-06 20:37:16,35.63,79.66,19.37
281,Stasiun South Shannon,Riau,2024-08-21 20:09:52,26.33,71.79,4.25
282,Stasiun Mariafurt,Sulawesi Selatan,2024-10-29 07:42:36,24.04,45.95,16.91
283,Stasiun West Ronaldview,Kalimantan Timur,2024-10-14 02:16:39,22.07,55.32,4.52
284,Stasiun Lake Sandra,Kalimantan Barat,2024-06-23 21:43:09,35.21,93.6,16.37
285,Stasiun North Ryanstad,Jawa Timur,2025-03-22 21:01:10,30.96,76.18,13.87
286,Stasiun New Sueside,Jawa Timur,2024-09-27 18:50:32,23.25,78.65,6.18
287,Stasiun South Michaelchester,Kalimantan Timur,2025-04-12 10:43:55,26.32,49.98,2.87
288,Stasiun West Carolinestad,Kalimantan Barat,2024-07-07 05:22:56,21.25,80.75,19.44
289,Stasiun East Diane,Jawa Tengah,2024-08-20 06:55:17,33.43,51.83,8.4
290,Stasiun West Meganstad,Kalimantan Timur,2024-07-11 08:18:06,22.83,57.14,6.49
291,Stasiun Audreychester,Jawa Tengah,2025-04-04 01:40:19,35.9,48.56,15.09
292,Stasiun New Sarahview,Jawa Timur,2024-06-09 23:02:28,32.13,54.97,13.24
